January 06,20.50,23.90,24.99,24.95,25.00,23.23,25.00,24.75,25.00,25.00
13,20.50,23.90,24.99,25.00,25.00,23.23,25.00,24.75,25.00,25.00
20,20.50,23.90,24.99,25.00,25.00,23.23,25.00,24.75,25.00,25.00
27,20.00,23.90,23.75,23.90,25.00,23.23,25.00,24.75,25.00,25.00
February 03,18.00,21.00,21.00,22.40,25.00,23.23,25.00,24.75,25.00,25.00
10,18.00,21.00,21.00,22.40,25.00,23.23,25.00,24.75,25.00,25.00
17,18.00,21.00,21.00,22.40,25.00,23.23,25.00,24.75,25.00,25.00
24,17.63,19.50,20.00,21.00,20.00,20.00,19.50,20.90,19.95,22.95
March 03,17.63,19.50,20.00,21.00,20.00,20.00,19.50,20.90,19.95,22.95
10,14.25,15.00,16.00,19.25,20.00,20.00,19.50,20.90,19.95,22.95
17,14.25,15.00,16.00,19.25,20.00,20.00,19.50,20.90,19.95,22.95
24,14.00,15.00,15.50,17.47,20.00,20.00,19.50,20.90,19.95,22.95
31,14.00,15.00,15.50,17.47,20.00,20.00,19.50,20.90,19.95,22.95
April 07,14.00,14.75,15.25,17.01,20.00,20.00,19.50,20.90,19.95,22.95
14,14.00,14.75,15.25,17.01,20.00,20.00,19.50,20.90,19.95,22.95
21,14.00,14.75,15.25,17.47,20.00,20.00,19.50,20.90,19.95,22.95
28,14.00,14.75,15.25,17.47,20.00,20.00,19.25,20.00,19.94,22.50
May 05,14.00,15.00,15.75,17.47,20.00,20.00,19.25,20.00,19.94,22.50
12,14.00,15.00,15.75,17.47,20.00,20.00,19.25,20.00,19.94,22.50
19,14.50,15.50,16.00,17.50,20.00,20.00,19.25,20.00,19.94,22.50
26,14.50,15.50,16.00,17.50,20.00,20.00,19.25,20.00,19.94,22.50
June 02,14.00,15.00,15.50,16.00,20.00,20.00,19.25,20.00,19.94,22.50
09,14.00,15.00,15.50,16.00,20.00,20.00,19.25,20.00,19.94,22.50
16,12.50,13.00,13.50,14.50,20.00,20.00,19.25,20.00,19.94,22.50
23,12.50,13.00,13.50,14.50,20.00,20.00,19.25,20.00,19.94,22.50
30,12.41,12.50,12.50,17.00,17.00,17.93,17.47,18.49,18.25,19.50
July 07,12.41,12.50,12.50,17.00,17.00,17.93,17.47,18.49,18.25,19.50
14,12.20,11.95,11.90,16.50,17.00,17.93,17.47,18.49,18.25,19.50
21,12.20,11.95,11.90,16.50,17.00,17.93,17.47,18.49,18.25,19.50
28,12.00,11.50,11.50,16.93,17.00,17.93,17.47,18.49,18.25,19.50
August 04,12.00,11.50,11.50,16.93,17.00,17.93,17.47,18.49,18.25,19.50
11,11.75,11.50,10.00,16.75,17.00,17.93,17.47,18.49,18.25,19.50
18,11.75,11.50,10.00,16.75,17.00,17.93,17.47,18.49,18.25,19.50
25,9.25,9.50,9.50,15.34,17.00,17.93,17.47,18.49,18.25,19.50
September 01,9.25,9.50,9.50,15.34,16.00,16.85,17.65,16.00,18.00,18.50
08,9.00,9.15,9.50,15.34,16.00,16.85,17.65,16.00,18.00,18.50
15,9.00,9.15,9.50,15.34,16.00,16.85,17.65,16.00,18.00,18.50
22,9.02,9.16,8.50,14.89,16.00,16.85,17.65,16.00,18.00,18.50
29,9.02,9.16,8.50,14.89,16.00,16.85,17.65,16.00,18.00,18.50
October 06,9.02,9.16,8.50,15.95,16.00,16.85,17.65,16.00,18.00,18.50
13,9.02,9.16,8.50,15.95,16.00,16.85,17.65,16.00,18.00,18.50
20,9.02,10.00,14.00,15.50,16.00,16.85,17.65,16.00,18.00,18.50
27,9.02,10.00,14.00,15.50,16.00,16.85,17.65,16.00,18.00,18.50
November 03,9.02,9.50,14.00,15.50,16.50,18.50,17.99,19.50,21.00,18.50
10,9.02,9.50,14.00,15.50,16.50,18.50,17.99,19.50,21.00,18.50
17,9.10,9.40,14.00,16.00,16.50,18.50,17.99,19.50,21.00,18.50
24,9.10,9.40,14.00,16.00,16.50,18.50,17.99,19.50,21.00,18.50
December 01,9.25,9.50,13.00,16.00,16.50,18.50,17.99,19.50,21.00,18.50
08,9.25,9.50,13.00,16.00,16.50,18.50,17.99,19.50,21.00,18.50
15,9.75,10.00,13.93,16.50,16.50,18.50,17.99,19.50,21.00,18.50
22,9.75,10.00,13.93,16.50,16.50,17.95,17.98,19.50,20.00,18.50
30,9.75,10.00,14.00,16.50,16.50,17.95,17.98,19.50,20.00,18.50
2018,,,,,,,,,,
January 05,9.75,10.00,14.00,16.50,16.50,17.95,17.98,19.50,20.00,18.50
